component,current_km,current_months,condition_metric_value,health_status
CVT/AT Oil,18466.63,44.08,116.16,2
Front Brake Pad,59174.12,14.53,1.21,2
Rear Brake Pad,37848.22,42.37,5.75,2
CVT/AT Oil,12777.85,7.36,1.75,2
Front Brake Pad,41045.93,22.92,4.99,0
CVT/AT Oil,54249.52,18.81,61.68,2
Rear Brake Pad,35688.85,33.59,7.76,0
Gearbox Filter,71682.46,33.07,88.42,2
Spark Plug,30989.33,33.06,7.35,2
Gearbox Filter,31267.21,15.06,60.86,0
CVT/AT Oil,4551.8,6.96,15.37,2
Rear Brake Pad,36027.04,37.67,1.62,2
Gearbox,5185.01,8.07,42.66,2
Gearbox Filter,87579.93,43.34,23.5,2
Gearbox Filter,15204.16,20.06,18.59,0
Gearbox Filter,49384.38,38.48,37.38,0
Front Brake Pad,24588.22,18.12,6.21,0
Spark Plug,11074.87,34.64,5.16,2
Front Brake Pad,10595.99,13.58,0.02,2
Gearbox,12093.02,6.73,16.61,2
Rear Brake Pad,48293.16,49.9,2.13,2
Gearbox,5533.7,4.16,67.27,2
Front Brake Pad,9972.39,4.79,6.18,0
Rear Brake Pad,46050.97,28.73,0.96,2
Ignition Coil,63746.4,42.89,1.26,0
Rear Brake Pad,33955.57,1.08,2.9,2
Rear Brake Pad,8028.39,28.91,2.1,2
Gearbox Filter,53423.32,48.9,82.86,2
Gearbox Filter,43162.39,42.06,77.37,2
Rear Brake Pad,67089.55,23.31,1.15,2
Spark Plug,40493.62,64.77,4.56,2
CVT/AT Oil,21365.8,53.27,72.69,2
Spark Plug,904.12,16.22,2.74,0
Gearbox,12762.26,0.79,72.53,2
Rear Brake Pad,75808.26,2.79,0.16,2
Gearbox Filter,88414.08,8.07,41.77,2
Gearbox,13760.93,0.05,87.76,2
Front Brake Pad,11534.91,24.07,8.36,2
Rear Brake Pad,48153.31,25.74,7.55,0
Gearbox Filter,16833.94,23.3,44.67,0
Spark Plug,88349.66,38.15,5.3,2
Front Brake Pad,19482.56,20.92,1.39,2
Gearbox,4809.63,5.34,33.23,0
Ignition Coil,98748.56,59.28,2.42,0
Ignition Coil,15816.26,14.99,0.03,0
Spark Plug,71476.65,33.95,3.09,0
Front Brake Pad,7202.2,30.63,6.71,2
Ignition Coil,22373.5,78.93,11.26,2
Gearbox,5688.43,8.34,64.94,2
Gearbox,12627.43,1.26,71.57,2
Front Brake Pad,53968.76,29.7,1.68,2
CVT/AT Oil,39911.83,28.25,43.06,1
Gearbox Filter,52947.6,49.17,47.45,2
Front Brake Pad,60727.55,22.47,4.86,2
Rear Brake Pad,45244.84,12.54,8.1,0
Rear Brake Pad,47867.17,3.6,2.06,2
Rear Brake Pad,10520.82,50.75,5.65,2
Ignition Coil,25068.97,85.75,7.44,2
Gearbox,11121.91,5.16,89.79,2
Spark Plug,37406.65,17.89,5.58,2
Front Brake Pad,13806.76,25.71,4.45,2
Ignition Coil,61574.71,88.7,1.33,2
Gearbox,6855.0,5.44,45.21,0
Gearbox Filter,43772.17,29.44,81.05,2
CVT/AT Oil,38468.86,37.47,65.13,2
CVT/AT Oil,35941.76,44.65,115.09,2
Front Brake Pad,15346.19,15.25,2.59,2
CVT/AT Oil,9201.08,31.66,60.71,0
Spark Plug,30721.86,52.28,4.45,2
Gearbox,8477.0,6.27,83.02,2
Rear Brake Pad,13728.51,31.12,5.46,0
Front Brake Pad,5219.17,3.75,7.56,0
CVT/AT Oil,27050.36,6.11,118.18,0
Front Brake Pad,12576.66,30.15,2.99,2
Front Brake Pad,35021.57,21.29,3.59,0
Spark Plug,89309.96,14.8,5.91,2
Ignition Coil,60029.85,43.0,6.45,0
CVT/AT Oil,55377.61,25.15,57.7,2
CVT/AT Oil,27133.08,12.13,54.29,0
CVT/AT Oil,14893.59,31.19,19.86,2
Gearbox Filter,82336.13,26.09,60.96,2
Front Brake Pad,14856.56,7.66,4.64,0
Spark Plug,115328.44,10.7,3.11,2
Gearbox,8026.05,1.66,26.96,0
Gearbox Filter,35758.63,30.73,83.98,2
Front Brake Pad,13846.93,6.86,0.33,2
Front Brake Pad,56468.12,21.15,2.65,2
CVT/AT Oil,27197.33,28.32,52.89,0
Ignition Coil,89462.15,82.66,1.24,2
Gearbox Filter,6795.3,54.23,28.59,2
CVT/AT Oil,38639.97,22.07,3.05,2
Gearbox,12596.83,7.8,36.72,2
Spark Plug,26636.66,16.64,5.04,2
Gearbox Filter,53554.41,24.43,59.79,0
CVT/AT Oil,39164.77,12.86,11.93,2
Front Brake Pad,40715.82,29.05,8.66,2
Gearbox,10021.28,1.84,26.38,2
Ignition Coil,2340.35,9.23,2.49,0
CVT/AT Oil,7366.61,47.33,77.15,2
Ignition Coil,160680.91,88.28,4.1,2
Ignition Coil,148519.32,39.21,0.41,2
Gearbox,9362.23,3.68,49.68,1
Ignition Coil,154992.24,23.71,11.69,2
Gearbox,2101.7,7.82,43.87,2
Front Brake Pad,31796.92,6.56,4.36,0
Spark Plug,32241.28,39.0,4.75,0
Rear Brake Pad,19622.08,34.83,3.8,0
Ignition Coil,94624.23,18.54,3.27,0
CVT/AT Oil,49355.03,28.6,97.81,2
Spark Plug,32886.63,39.9,4.89,0
Ignition Coil,129636.46,11.51,1.68,2
CVT/AT Oil,54001.12,47.19,71.69,2
Gearbox,9496.47,4.45,51.6,1
Spark Plug,50252.46,27.59,3.89,0
Ignition Coil,29931.01,79.71,0.99,2
Gearbox,11564.79,0.61,75.34,2
CVT/AT Oil,21340.36,38.83,35.65,2
CVT/AT Oil,56958.41,21.42,114.49,2
Front Brake Pad,49448.62,7.74,0.28,2
Gearbox,2430.21,7.57,76.18,2
CVT/AT Oil,35810.57,18.05,92.51,0
Gearbox Filter,30994.54,25.31,43.34,0
Gearbox Filter,61956.22,31.31,25.87,2
CVT/AT Oil,4665.92,0.13,116.12,0
Front Brake Pad,39840.57,13.0,0.82,2
CVT/AT Oil,57725.93,42.66,82.87,2
Spark Plug,22215.95,39.02,6.55,2
Rear Brake Pad,72590.5,35.57,6.23,2
Front Brake Pad,66188.93,32.52,5.82,2
CVT/AT Oil,59260.08,50.98,4.73,2
Ignition Coil,105887.48,107.93,6.67,2
Front Brake Pad,61795.46,1.22,6.28,2
Spark Plug,23111.88,8.3,3.16,0
Gearbox Filter,42679.28,62.07,88.68,2
Ignition Coil,94038.22,69.61,7.8,0
CVT/AT Oil,33640.63,25.98,106.2,0
CVT/AT Oil,20392.5,39.14,7.84,2
Rear Brake Pad,72357.93,29.07,5.95,2
Gearbox Filter,56330.22,63.79,64.67,2
Front Brake Pad,28181.66,16.63,8.91,0
CVT/AT Oil,52482.1,28.56,112.69,2
CVT/AT Oil,4201.78,0.51,6.32,2
Spark Plug,48231.71,34.55,4.71,0
Gearbox,14761.25,6.91,37.6,2
Rear Brake Pad,47026.73,39.54,0.03,2
Gearbox Filter,31915.99,20.68,31.11,0
Front Brake Pad,39764.83,9.98,8.19,0
Rear Brake Pad,38499.58,20.75,6.12,0
Gearbox,14346.24,7.18,23.31,2
Gearbox,6263.71,7.91,85.03,2
CVT/AT Oil,54223.44,53.42,89.2,2
Gearbox,3475.08,8.48,58.47,2
Gearbox Filter,74757.83,8.66,4.93,2
Spark Plug,26458.35,13.42,5.85,2
Front Brake Pad,54051.95,22.67,1.95,2
Spark Plug,111330.27,71.63,1.3,2
Ignition Coil,92744.63,53.05,11.96,2
CVT/AT Oil,48949.99,12.12,26.86,2
Rear Brake Pad,3137.86,48.33,7.74,2
CVT/AT Oil,52647.65,14.34,15.54,2
Spark Plug,5325.2,61.36,0.27,2
Rear Brake Pad,58971.78,29.75,0.78,2
Gearbox,5590.33,2.34,65.11,2
Ignition Coil,95868.45,103.91,1.31,2
Gearbox,1141.96,7.66,44.56,2
Front Brake Pad,39987.53,29.69,3.13,2
Ignition Coil,97880.2,93.37,8.81,2
CVT/AT Oil,52089.65,13.25,18.88,2
Spark Plug,40081.07,17.19,6.98,2
Gearbox,9279.17,6.77,14.27,2
CVT/AT Oil,57678.92,25.14,105.49,2
Ignition Coil,23196.58,36.19,8.92,2
Rear Brake Pad,100.81,30.03,6.81,0
Gearbox,95.79,2.58,55.52,0
Spark Plug,67181.32,8.34,2.83,0
Gearbox Filter,70186.09,7.7,79.91,2
Ignition Coil,77803.34,90.73,4.71,2
Rear Brake Pad,83882.53,5.54,8.44,2
Gearbox,1017.56,2.71,63.74,2
Front Brake Pad,47828.61,17.05,0.52,2
CVT/AT Oil,51144.88,53.47,81.13,2
Gearbox,11244.78,1.17,68.24,2
Rear Brake Pad,5906.35,44.36,3.35,2
CVT/AT Oil,15150.52,0.06,19.07,2
Ignition Coil,179482.41,46.03,5.42,2
Rear Brake Pad,47432.17,44.6,2.69,2
Ignition Coil,139108.1,24.85,1.58,2
CVT/AT Oil,57051.81,8.16,51.88,2
Gearbox Filter,81857.21,61.73,101.27,2
CVT/AT Oil,16452.91,53.13,49.12,2
Gearbox,10866.34,6.71,18.03,2
Spark Plug,78200.02,26.53,6.48,2
CVT/AT Oil,58091.61,10.02,104.23,2
Gearbox Filter,13829.22,32.67,55.69,0
Rear Brake Pad,56359.83,7.09,0.29,2
Gearbox,14512.67,1.67,41.59,2
Front Brake Pad,7918.3,4.51,6.17,0
Gearbox,8376.19,2.03,14.47,0
Front Brake Pad,39283.07,9.68,7.18,0
CVT/AT Oil,59061.08,8.08,55.75,2
Front Brake Pad,26493.32,17.28,5.4,0
CVT/AT Oil,41698.91,46.45,93.58,2
CVT/AT Oil,28830.42,5.67,29.05,2
Spark Plug,68508.54,1.32,3.62,0
Gearbox,10536.97,5.04,0.88,2
Gearbox,1086.24,4.81,79.43,2
Front Brake Pad,2241.21,2.83,3.57,0
Ignition Coil,175943.95,21.69,8.32,2
Rear Brake Pad,18013.52,9.04,0.94,2
CVT/AT Oil,7453.2,48.4,71.37,2
Spark Plug,6236.55,38.97,5.32,2
Ignition Coil,112554.84,84.61,7.35,2
Rear Brake Pad,7210.34,48.32,4.93,2
Ignition Coil,141089.86,51.94,0.49,2
Gearbox,10973.84,0.73,5.43,2
Rear Brake Pad,58526.48,25.88,5.54,1
CVT/AT Oil,58551.92,18.19,21.85,2
Rear Brake Pad,39028.98,2.36,1.46,2
Front Brake Pad,48546.12,8.22,8.97,2
Spark Plug,59193.22,5.87,3.02,0
Gearbox Filter,6497.86,2.21,27.06,0
Gearbox,2612.9,8.65,37.43,2
Gearbox,9431.47,6.62,69.1,2
Gearbox,601.64,7.8,52.08,2
Gearbox,440.92,3.56,54.56,0
Rear Brake Pad,81063.17,22.77,2.49,2
CVT/AT Oil,17031.27,19.39,46.06,0
Ignition Coil,113680.84,79.18,1.58,2
Gearbox,13635.49,1.62,21.38,2
Front Brake Pad,34601.53,14.87,0.62,2
Spark Plug,29667.73,62.69,3.34,2
Rear Brake Pad,32331.0,32.02,1.47,2
CVT/AT Oil,18728.88,21.55,102.96,0
Gearbox Filter,29267.11,55.69,13.74,2
Gearbox Filter,21332.51,16.9,92.79,2
Front Brake Pad,11458.66,18.71,3.03,0
Front Brake Pad,9838.57,16.18,5.29,0
Gearbox,10601.66,1.5,15.09,2
Spark Plug,72664.58,25.68,4.0,0
Spark Plug,101300.45,58.01,4.39,2
Rear Brake Pad,50232.62,29.15,0.31,2
Front Brake Pad,3853.36,19.12,8.43,0
Gearbox Filter,57600.27,16.18,18.9,1
CVT/AT Oil,18969.37,27.39,4.99,2
Ignition Coil,71528.22,51.83,8.23,2
Front Brake Pad,64247.3,23.01,7.81,2
Rear Brake Pad,22880.21,28.17,3.08,0
Front Brake Pad,9426.46,1.08,2.77,2
Ignition Coil,36333.62,72.73,11.64,2
Spark Plug,87699.54,11.24,1.76,2
Rear Brake Pad,15943.48,37.4,7.54,2
Ignition Coil,67373.42,1.89,2.93,0
Ignition Coil,156402.9,61.63,0.36,2
Spark Plug,82743.21,48.71,1.62,2
Front Brake Pad,26585.85,23.44,0.96,2
Gearbox,2389.31,5.44,28.63,0
Spark Plug,48828.96,62.69,5.87,2
Gearbox Filter,25981.7,7.86,68.3,0
Front Brake Pad,22074.74,24.03,7.27,2
Ignition Coil,158020.41,34.26,10.43,2
Spark Plug,14425.09,39.2,0.04,0
Rear Brake Pad,56718.79,32.93,5.07,1
CVT/AT Oil,23313.49,24.23,28.51,2
Spark Plug,53330.33,1.06,4.4,0
Front Brake Pad,43373.88,27.34,4.5,2
Gearbox Filter,77700.03,37.37,50.31,2
Gearbox Filter,73238.97,7.84,15.64,2
Gearbox Filter,22146.27,34.32,41.41,0
Rear Brake Pad,73168.72,38.78,8.6,2
Gearbox Filter,74015.41,31.02,94.16,2
Gearbox Filter,80822.75,17.53,97.34,2
Rear Brake Pad,17743.87,25.88,1.75,2
Front Brake Pad,32796.34,9.24,2.56,2
CVT/AT Oil,55776.35,28.74,69.71,2
Ignition Coil,109860.08,77.34,3.27,2
Gearbox,12347.61,4.7,11.09,2
Gearbox,2721.58,4.73,63.81,2
Spark Plug,68077.47,18.47,7.22,2
Gearbox,1305.58,7.34,33.62,2
Gearbox Filter,56983.62,68.5,63.17,2
Front Brake Pad,34774.32,21.37,7.14,0
Rear Brake Pad,54988.29,22.2,7.56,0
Spark Plug,28424.47,56.2,2.06,2
CVT/AT Oil,51070.46,36.26,97.14,2
CVT/AT Oil,37431.56,24.4,70.39,1
Rear Brake Pad,21171.2,46.94,4.26,2
Gearbox Filter,8614.31,1.7,67.41,0
Gearbox,3092.79,5.74,23.12,1
Gearbox Filter,53502.87,35.77,103.72,2
CVT/AT Oil,35822.82,36.5,53.13,2
Gearbox Filter,64583.8,49.86,104.08,2
Gearbox,12280.61,5.43,30.35,2
Rear Brake Pad,69536.05,14.3,5.81,2
Gearbox,2878.01,2.91,20.4,0
Spark Plug,74058.69,31.85,6.24,2
Gearbox,12005.35,2.1,48.6,2
Front Brake Pad,40014.81,24.48,2.08,2
Ignition Coil,59940.34,72.3,11.93,2
Ignition Coil,65329.97,107.51,5.36,2
Gearbox,902.14,5.06,86.19,2
Gearbox Filter,57146.4,54.35,17.9,2
Ignition Coil,17401.76,48.64,9.07,2
Spark Plug,36102.37,70.65,3.56,2
Front Brake Pad,15838.34,14.38,1.37,2
Gearbox Filter,66346.22,55.34,25.58,2
Front Brake Pad,35164.66,22.45,0.8,2
Rear Brake Pad,77821.76,32.86,4.56,2
Gearbox,10631.17,0.33,27.28,2
Ignition Coil,61501.41,41.14,4.16,0
Spark Plug,66456.27,22.0,2.98,0
Rear Brake Pad,84814.83,47.16,1.46,2
Front Brake Pad,33545.04,35.72,7.66,2
Ignition Coil,90207.54,42.9,6.48,0
Gearbox Filter,34256.1,63.21,91.15,2
Front Brake Pad,9536.27,7.63,7.37,0
Rear Brake Pad,36268.22,9.37,6.25,0
Ignition Coil,172318.12,61.89,11.19,2
Ignition Coil,23854.44,93.1,11.07,2
Front Brake Pad,9395.87,32.34,7.46,2
Gearbox,7538.49,3.59,13.17,0
Gearbox Filter,10958.57,34.43,53.14,0
Rear Brake Pad,86680.36,29.67,8.69,2
Gearbox,4677.24,4.56,39.56,0
Gearbox,12771.73,0.0,1.59,2
Ignition Coil,117036.2,16.42,0.74,1
CVT/AT Oil,11506.95,11.43,58.15,0
Ignition Coil,10400.5,75.06,11.8,2
CVT/AT Oil,10239.89,4.03,93.92,0
Front Brake Pad,6820.59,24.92,0.56,2
Gearbox,9497.84,2.06,20.94,1
Gearbox,4593.8,5.62,47.43,1
Rear Brake Pad,65188.57,42.77,3.64,2
Gearbox Filter,31881.26,37.84,50.57,0
Rear Brake Pad,66025.29,41.54,0.1,2
Ignition Coil,24084.67,45.21,9.48,2
Gearbox Filter,68426.08,9.87,56.21,2
Spark Plug,38820.05,60.07,4.72,2
Gearbox Filter,72138.34,69.09,51.22,2
CVT/AT Oil,15951.07,34.89,59.92,0
Rear Brake Pad,13431.4,6.87,7.78,0
Gearbox,9775.66,7.3,55.27,2
Gearbox Filter,41350.21,56.52,93.67,2
Spark Plug,12257.94,47.43,7.07,2
Ignition Coil,78768.56,27.5,10.09,2
Ignition Coil,45550.52,84.37,9.9,2
Rear Brake Pad,59341.85,48.34,5.73,2
Rear Brake Pad,80045.18,24.33,7.94,2
Gearbox Filter,66369.04,36.88,71.42,2
Gearbox Filter,3421.97,53.73,69.2,2
CVT/AT Oil,4275.4,0.65,114.78,0
Gearbox Filter,34883.57,33.26,104.12,2
Gearbox,11619.8,5.95,16.67,2
CVT/AT Oil,24727.86,29.68,99.66,0
Ignition Coil,3770.09,8.87,11.61,2
Rear Brake Pad,70423.64,12.3,8.78,2
Rear Brake Pad,18511.85,6.55,5.54,0
Front Brake Pad,4674.67,34.55,4.3,2
Rear Brake Pad,87163.99,43.13,2.64,2
Ignition Coil,108338.69,62.9,8.98,2
Gearbox,2349.58,0.39,9.97,0
Ignition Coil,40430.81,40.19,5.18,0
Gearbox,5829.79,1.47,24.64,0
Gearbox,1822.52,1.78,79.82,2
Gearbox Filter,25731.61,58.75,90.44,2
Spark Plug,31011.79,39.17,4.77,0
Front Brake Pad,31086.42,30.31,6.56,2
Rear Brake Pad,16253.51,2.91,2.88,2
Front Brake Pad,66465.21,33.75,0.39,2
Ignition Coil,19429.87,74.01,1.1,2
Ignition Coil,38432.05,54.63,10.09,2
Gearbox Filter,37207.48,54.59,78.06,2
CVT/AT Oil,17852.91,30.51,82.67,0
Rear Brake Pad,51945.55,47.37,3.9,2
Ignition Coil,100447.62,87.67,8.9,2
CVT/AT Oil,59508.6,5.36,48.18,2
Ignition Coil,118360.86,33.58,8.91,2
Front Brake Pad,41579.02,6.77,3.2,0
Gearbox Filter,48482.61,37.74,89.05,2
Ignition Coil,6356.04,80.54,2.43,2
Ignition Coil,136561.75,73.26,9.08,2
Rear Brake Pad,27504.38,47.34,8.97,2
Gearbox,5780.64,5.79,70.24,2
Front Brake Pad,40030.49,14.09,3.71,0
Rear Brake Pad,289.64,33.46,3.2,0
Spark Plug,46520.83,28.97,6.56,2
Gearbox Filter,57809.3,4.67,60.9,1
Rear Brake Pad,63264.91,2.85,4.38,2
Front Brake Pad,54336.76,9.71,7.43,2
Spark Plug,76378.88,10.73,5.22,2
Gearbox,11773.45,6.37,70.98,2
CVT/AT Oil,26411.94,7.96,39.38,2
Rear Brake Pad,21227.18,20.06,0.56,2
Gearbox,11034.95,8.99,83.98,2
Gearbox Filter,15613.21,45.9,52.1,0
Rear Brake Pad,10650.26,22.13,7.56,0
CVT/AT Oil,44399.18,51.32,24.35,2
Gearbox,5433.53,3.01,2.36,0
Spark Plug,70297.22,42.23,5.23,2
CVT/AT Oil,17923.53,50.8,31.12,2
Front Brake Pad,15224.04,13.57,4.16,0
Gearbox,12039.65,4.12,43.47,2
Front Brake Pad,42604.02,1.79,8.14,1
CVT/AT Oil,26211.04,39.39,91.86,2
Front Brake Pad,15202.6,4.73,3.59,0
Gearbox,9854.33,8.61,6.21,2
Gearbox,668.92,0.33,24.81,0
Rear Brake Pad,81562.91,13.48,2.45,2
Front Brake Pad,28949.86,30.41,2.41,2
Spark Plug,58508.54,2.42,0.47,0
Ignition Coil,101158.71,37.36,3.78,0
CVT/AT Oil,20840.6,48.59,2.62,2
CVT/AT Oil,57803.67,30.25,112.42,2
Ignition Coil,149016.31,85.07,7.49,2
Gearbox Filter,88316.74,18.47,68.69,2
Ignition Coil,34414.33,36.53,3.7,0
Gearbox Filter,54767.45,25.16,11.98,0
Ignition Coil,129601.45,45.14,1.07,2
Front Brake Pad,37882.54,18.84,1.03,2
Ignition Coil,72716.02,58.59,9.5,2
Spark Plug,65224.59,5.88,3.44,0
Spark Plug,51435.67,10.15,4.98,0
Spark Plug,80282.68,33.29,3.09,2
Gearbox Filter,67435.53,20.92,82.63,2
Front Brake Pad,54432.24,16.53,0.47,2
Rear Brake Pad,44753.03,18.35,7.85,0
Ignition Coil,59438.71,81.73,6.23,2
Gearbox Filter,59366.64,11.64,26.83,1
Gearbox Filter,40611.54,70.92,81.06,2
Rear Brake Pad,49726.23,5.08,3.09,0
Gearbox,8080.53,4.48,9.49,0
Gearbox,6775.45,3.58,8.41,0
Gearbox Filter,86802.9,14.67,54.95,2
Gearbox,11892.82,5.2,57.11,2
Rear Brake Pad,57840.72,10.58,8.07,1
Ignition Coil,28431.87,75.16,9.52,2
Rear Brake Pad,55212.58,19.61,8.07,1
CVT/AT Oil,59011.29,7.6,24.24,2
Gearbox Filter,65937.17,59.07,32.88,2
Front Brake Pad,41532.62,3.0,7.94,0
Gearbox,11095.95,2.88,88.96,2
Gearbox Filter,88569.93,48.09,66.64,2
